Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728915034481,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61,64,61,62,60,61,50,0,0,0,0,0,0,0,0,0,0,0,33.02395248413086,17179869184,2147483648,11320397824,801112064
209,1728915034482,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61,64,61,62,60,61,NaN,0,0,0,0,0,0,0,0,0,50,0,33.02395248413086,17179869184,2147483648,11320369152,801112064
19,1728915034692,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,66,62,64,60,62,9.090909004211426,0,0,0,4.761904716491699,0,8.69565200805664,0,42.85714340209961,0,0,0,33.02395248413086,17179869184,2147483648,11319656448,801112064
