Date,CPU Utilization,CPU Power
2024-09-25 17:23:02,0.25000000000000,3.24478974727425
2024-09-25 17:23:03,0.25000000000000,3.24478974727425
2024-09-25 17:23:04,0.25062656641604,3.27164751598061
2024-09-25 17:23:05,0.24937655860349,3.21848634120525
2024-09-25 17:23:06,0.25062656641604,3.24658917349949
2024-09-25 17:23:07,0.24812030075188,3.23893104082080
2024-09-25 17:23:08,0.24937655860349,3.21848634120525
2024-09-25 17:23:09,0.25000000000000,3.24478974727425
2024-09-25 17:23:10,0.25000000000000,3.24478974727425
2024-09-25 17:23:11,0.25000000000000,3.24478974727425
2024-09-25 17:23:12,0.25062656641604,3.27164751598061
2024-09-25 17:23:13,0.25000000000000,3.24478974727425
2024-09-25 17:23:14,0.25062656641604,3.24658917349949
2024-09-25 17:23:15,0.25000000000000,3.22029715564997
2024-09-25 17:23:16,0.25062656641604,3.24658917349949
2024-09-25 17:23:17,0.24937655860349,3.21848634120525
