Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728920830620,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,71,68,69,67,69,50,0,0,0,0,0,0,0,0,0,0,0,21.445602416992188,17179869184,2147483648,11049979904,1287127040
205,1728920830620,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,71,68,69,67,69,100,0,50,0,50,0,0,0,100,0,0,0,21.445602416992188,17179869184,2147483648,11050307584,1287127040
209,1728920830826,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,71,68,69,67,69,42.85714340209961,0,0,0,10,0,27.272727966308594,0,42.85714340209961,0,9.523809432983398,0,21.445602416992188,17179869184,2147483648,11060953088,1287127040
208,1728920831036,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,72,69,71,68,69,52.38095474243164,0,4.761904716491699,0,33.333335876464844,0,15.000000953674316,0,14.285715103149414,0,0,0,21.445602416992188,17179869184,2147483648,11060899840,1287127040
207,1728920831245,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,72,69,71,68,69,71.42857360839844,0,9.523809432983398,0,10,0,13.636363983154297,0,0,0,19.047618865966797,0,21.08601188659668,17179869184,2147483648,11060920320,1287127040
207,1728920831453,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,72,69,71,68,69,33.333335876464844,0,42.85714340209961,0,36.3636360168457,0,5.263157844543457,0,9.090909004211426,0,9.523809432983398,0,21.08601188659668,17179869184,2147483648,11060588544,1287127040
208,1728920831661,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,72,69,71,68,69,15.000000953674316,0,0,0,40,0,22.72727394104004,0,15.000000953674316,0,25,0,21.08601188659668,17179869184,2147483648,11060412416,1287127040
205,1728920831870,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,70,70,74,69,30.000001907348633,0,14.285715103149414,0,27.272727966308594,0,38.095237731933594,0,4.761904716491699,0,20,0,21.08601188659668,17179869184,2147483648,11060490240,1287127040
207,1728920832075,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,70,70,74,69,54.54545593261719,0,0,0,45,0,5,0,10,0,4.761904716491699,0,21.08601188659668,17179869184,2147483648,11060490240,1287127040
208,1728920832283,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,70,70,74,69,10,0,9.523809432983398,0,33.333335876464844,0,25,0,20,0,19.047618865966797,0,23.275156021118164,17179869184,2147483648,11060490240,1287127040
