Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728919555488,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,67,65,65,64,64,50,0,0,0,50,0,0,0,50,0,0,0,43.96764373779297,17179869184,3221225472,11007930368,1415839744
204,1728919555488,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,67,65,65,64,64,50,0,0,0,0,0,50,0,0,0,0,0,43.96764373779297,17179869184,3221225472,11008008192,1415839744
203,1728919555693,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,67,65,65,64,64,57.894737243652344,4.761904716491699,14.285715103149414,0,35,0,30.000001907348633,0,40,0,20,0,43.96764373779297,17179869184,3221225472,11023396864,1415839744
203,1728919555897,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,87,76,76,70,75,47.619049072265625,4.545454502105713,33.333335876464844,0,38.095237731933594,5,40,0,20,0,28.571430206298828,0,43.96764373779297,17179869184,3221225472,11023396864,1415839744
203,1728919556101,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,87,76,76,70,75,35,0,25,0,30.000001907348633,0,42.85714340209961,0,52.38095474243164,0,25,0,21.368959426879883,17179869184,3221225472,11023396864,1415839744
204,1728919556304,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,87,76,76,70,75,28.571430206298828,0,9.523809432983398,0,20,0,52.6315803527832,0,20,0,40,0,21.368959426879883,17179869184,3221225472,11027423232,1415839744
204,1728919556509,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,87,76,76,70,75,40,0,5,0,30.000001907348633,0,36.3636360168457,0,10,0,5,0,21.368959426879883,17179869184,3221225472,11027300352,1415839744
202,1728919556714,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,87,76,76,70,75,14.285715103149414,0,28.571430206298828,0,28.571430206298828,0,25,0,28.571430206298828,0,14.285715103149414,0,21.368959426879883,17179869184,3221225472,11027222528,1415839744
202,1728919556917,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,85,69,73,69,70,15.000000953674316,0,21.052631378173828,0,38.095237731933594,0,23.809524536132813,0,28.571430206298828,0,4.761904716491699,0,21.368959426879883,17179869184,3221225472,11027746816,1415839744
204,1728919557119,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,85,69,73,69,70,40,0,0,0,0,0,26.3157901763916,0,25,0,20,0,32.00349426269531,17179869184,3221225472,11027255296,1415839744
202,1728919557324,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,85,69,73,69,70,10,0,4.545454502105713,0,42.105262756347656,0,30.000001907348633,0,25,0,0,0,32.00349426269531,17179869184,3221225472,11027267584,1415839744
204,1728919557526,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,85,69,73,69,70,28.571430206298828,0,15.789472579956055,0,31.81818199157715,0,28.571430206298828,0,15.000000953674316,0,28.571430206298828,0,32.00349426269531,17179869184,3221225472,11029073920,1415839744
202,1728919557731,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,85,69,73,69,70,10,0,5,0,42.105262756347656,0,25,0,28.571430206298828,0,0,0,32.00349426269531,17179869184,3221225472,11028770816,1415839744
199,1728919557933,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,87,68,73,69,69,19.047618865966797,0,4.545454502105713,0,19.047618865966797,0,30.000001907348633,0,30.000001907348633,0,20,0,32.00349426269531,17179869184,3221225472,11028942848,1415839744
203,1728919558134,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,87,68,73,69,69,15.000000953674316,0,10,0,40,0,20,0,20,0,10,0,50.91006088256836,17179869184,3221225472,11029143552,1415839744
204,1728919558337,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,87,68,73,69,69,35,0,0,0,19.047618865966797,0,19.047618865966797,0,35,0,10,0,50.91006088256836,17179869184,3221225472,11029151744,1415839744
204,1728919558542,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,87,68,73,69,69,25,0,4.761904716491699,4.761904716491699,25,4.761904716491699,50,9.090909004211426,19.047618865966797,0,25,0,50.91006088256836,17179869184,3221225472,11033051136,1415839744
204,1728919558746,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,87,68,73,69,69,23.809524536132813,0,0,0,30.000001907348633,0,23.809524536132813,0,35,0,4.545454502105713,0,50.91006088256836,17179869184,3221225472,11032662016,1415839744
203,1728919558951,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,72,88,68,74,67,67,23.809524536132813,0,0,0,35,0,25,0,25,0,0,0,50.91006088256836,17179869184,3221225472,11032510464,1415839744
