Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728888557150,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,71,67,71,65,67,50,0,0,0,0,0,0,0,0,0,0,0,32.37490463256836,17179869184,2147483648,10873143296,372768768
209,1728888557150,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,71,67,71,65,67,NaN,0,0,0,NaN,0,50,0,0,0,0,0,32.37490463256836,17179869184,2147483648,10873294848,372768768
201,1728888557360,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,71,67,71,65,67,8.69565200805664,0,4.545454502105713,0,9.090909004211426,0,5,0,66.66667175292969,0,25,0,32.37490463256836,17179869184,2147483648,10873294848,372768768
204,1728888557563,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,71,67,71,65,67,84.21052551269531,0,0,0,10,0,5,0,10,0,0,0,23.89582633972168,17179869184,2147483648,10873294848,372768768
204,1728888557768,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,71,67,71,65,67,10,0,0,0,15.000000953674316,0,10,0,71.42857360839844,0,0,0,23.89582633972168,17179869184,2147483648,10873294848,372768768
208,1728888557972,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,71,90,73,67,69,23.809524536132813,0,0,0,18.18181800842285,0,42.85714340209961,0,33.333335876464844,0,0,0,23.89582633972168,17179869184,2147483648,10884087808,372768768
204,1728888558181,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,71,90,73,67,69,0,0,0,0,0,0,4.761904716491699,0,95,0,0,0,23.89582633972168,17179869184,2147483648,10884100096,372768768
203,1728888558387,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,71,90,73,67,69,19.047618865966797,0,4.545454502105713,0,13.636363983154297,0,5,0,85,0,4.761904716491699,0,23.89582633972168,17179869184,2147483648,10884878336,372768768
199,1728888558590,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,71,90,73,67,69,33.333335876464844,0,0,0,5,0,5,0,65,0,0,0,10.255596160888672,17179869184,2147483648,10884857856,372768768
206,1728888558790,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,71,90,73,67,69,5.263157844543457,0,0,0,0,0,19.047618865966797,0,86.36363983154297,0,0,0,10.255596160888672,17179869184,2147483648,10884907008,372768768
204,1728888558997,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,74,70,89,68,70,33.333335876464844,0,0,0,4.761904716491699,0,10,0,60.000003814697266,0,0,0,10.255596160888672,17179869184,2147483648,10884894720,372768768
203,1728888559202,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,74,70,89,68,70,4.761904716491699,0,0,0,0,0,9.523809432983398,0,100,0,0,0,10.255596160888672,17179869184,2147483648,10884898816,372768768
202,1728888559405,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,74,70,89,68,70,30.000001907348633,0,0,0,9.523809432983398,0,0,0,71.42857360839844,0,0,0,10.255596160888672,17179869184,2147483648,10884894720,372768768
205,1728888559608,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,74,70,89,68,70,90.47618865966797,0,0,0,10,0,0,0,0,0,4.761904716491699,0,28.07413101196289,17179869184,2147483648,10884775936,372768768
