Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728912373302,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,67,69,67,67,66,67,100,0,100,100,100,0,50,0,50,0,66.66667175292969,0,45.53955841064453,17179869184,2147483648,11247001600,868220928
199,1728912373303,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,67,69,67,67,66,67,100,0,50,0,50,0,100,0,100,0,NaN,0,45.53955841064453,17179869184,2147483648,11247001600,868220928
209,1728912373503,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,67,69,67,67,66,67,68.42105102539063,5,30.000001907348633,10,42.105262756347656,9.523809432983398,47.619049072265625,5.263157844543457,25,9.523809432983398,40,9.523809432983398,45.53955841064453,17179869184,2147483648,11247001600,868220928
200,1728912373713,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,79,90,80,73,76,28.571430206298828,4.545454502105713,33.333335876464844,0,36.3636360168457,0,31.57894515991211,4.545454502105713,23.809524536132813,0,54.54545593261719,0,45.53955841064453,17179869184,2147483648,11247001600,868220928
207,1728912373913,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,79,90,80,73,76,23.809524536132813,0,15.789472579956055,0,26.3157901763916,0,52.38095474243164,5,40,0,40,0,45.53955841064453,17179869184,2147483648,11247001600,868220928
204,1728912374121,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,79,90,80,73,76,25,0,71.42857360839844,4.545454502105713,19.047618865966797,4.545454502105713,23.809524536132813,0,33.333335876464844,0,15.000000953674316,4.545454502105713,27.082447052001953,17179869184,2147483648,11254693888,868220928
206,1728912374326,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,79,90,80,73,76,33.333335876464844,0,42.85714340209961,4.761904716491699,40,0,55,0,23.809524536132813,4.761904716491699,20,0,27.082447052001953,17179869184,2147483648,11255046144,868220928
205,1728912374533,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,79,90,80,73,76,50,0,20,0,42.85714340209961,4.761904716491699,42.85714340209961,0,20,4.761904716491699,42.85714340209961,4.761904716491699,27.082447052001953,17179869184,2147483648,11256057856,868220928
205,1728912374738,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,77,95,74,79,71,74,38.095237731933594,4.761904716491699,23.809524536132813,0,76.19047546386719,0,23.809524536132813,0,20,0,28.571430206298828,0,27.082447052001953,17179869184,2147483648,11256057856,868220928
199,1728912374944,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,77,95,74,79,71,74,25,4.761904716491699,52.38095474243164,4.761904716491699,40,0,15.000000953674316,4.545454502105713,19.047618865966797,0,35,4.761904716491699,27.082447052001953,17179869184,2147483648,11256057856,868220928
199,1728912375144,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,77,95,74,79,71,74,35,0,30.000001907348633,0,31.57894515991211,0,15.000000953674316,0,15.000000953674316,0,57.142860412597656,0,41.197998046875,17179869184,2147483648,11259695104,868220928
209,1728912375344,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,77,95,74,79,71,74,78.94737243652344,0,15.000000953674316,0,31.81818199157715,0,20,0,40,0,10.526315689086914,0,41.197998046875,17179869184,2147483648,11259858944,868220928
201,1728912375554,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,77,95,74,79,71,74,72.7272720336914,0,20,0,35,0,14.285715103149414,0,14.285715103149414,0,10,0,41.197998046875,17179869184,2147483648,11260190720,868220928
199,1728912375756,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,78,74,78,72,92,45,0,19.047618865966797,0,25,0,25,0,35,0,14.285715103149414,0,41.197998046875,17179869184,2147483648,11260190720,868220928
203,1728912375956,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,78,74,78,72,92,45,0,26.3157901763916,0,25,0,14.285715103149414,4.761904716491699,30.000001907348633,0,23.809524536132813,0,41.197998046875,17179869184,2147483648,11260190720,868220928
205,1728912376160,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,78,74,78,72,92,40,0,23.809524536132813,0,15.000000953674316,0,21.052631378173828,0,0,0,63.15789031982422,0,55.142154693603516,17179869184,2147483648,11260026880,868220928
207,1728912376366,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,78,74,78,72,92,25,0,45,0,9.523809432983398,0,38.095237731933594,0,27.272727966308594,0,0,0,55.142154693603516,17179869184,2147483648,11244400640,868220928
202,1728912376573,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,78,94,79,72,74,20,0,9.090909004211426,0,35,0,45,0,23.809524536132813,0,4.761904716491699,0,55.142154693603516,17179869184,2147483648,11248054272,868220928
