Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728895927968,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,67,65,65,63,63,50,0,0,0,0,0,50,0,0,0,0,0,52.21182632446289,17179869184,1073741824,11716038656,516685824
199,1728895927968,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,67,65,65,63,63,50,0,0,0,50,0,0,0,50,0,0,0,52.21182632446289,17179869184,1073741824,11716177920,516685824
17,1728895928168,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,69,66,67,64,65,42.105262756347656,0,0,0,10.526315689086914,0,10,0,14.285715103149414,0,0,0,52.21182632446289,17179869184,1073741824,11716788224,516685824
