Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728914429376,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,68,65,65,65,64,100,0,0,0,0,0,0,0,0,0,0,0,45.853641510009766,17179869184,2147483648,11327492096,801112064
204,1728914429376,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,68,65,65,65,64,0,0,0,0,100,0,0,0,0,0,0,0,45.853641510009766,17179869184,2147483648,11327598592,801112064
205,1728914429580,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,68,65,65,65,64,38.095237731933594,0,40,0,9.523809432983398,0,20,0,5,0,5,0,45.853641510009766,17179869184,2147483648,11327598592,801112064
207,1728914429787,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,70,85,71,68,70,28.571430206298828,0,14.285715103149414,0,42.105262756347656,0,28.571430206298828,0,0,0,0,0,45.853641510009766,17179869184,2147483648,11327598592,801112064
203,1728914429994,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,70,85,71,68,70,10,0,23.809524536132813,0,50,0,25,0,9.090909004211426,0,4.761904716491699,0,45.853641510009766,17179869184,2147483648,11327598592,801112064
208,1728914430198,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,70,85,71,68,70,33.333335876464844,0,47.619049072265625,0,13.636363983154297,0,4.761904716491699,0,25,0,0,0,25.712182998657227,17179869184,2147483648,11334950912,801112064
207,1728914430407,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,70,85,71,68,70,30.000001907348633,0,20,0,0,0,25,0,4.761904716491699,0,28.571430206298828,0,25.712182998657227,17179869184,2147483648,11335102464,801112064
204,1728914430615,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,70,85,71,68,70,28.571430206298828,0,4.545454502105713,0,9.090909004211426,0,0,0,55,0,23.809524536132813,0,25.712182998657227,17179869184,2147483648,11335102464,801112064
202,1728914430820,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,69,94,69,70,4.761904716491699,0,10,0,20,0,9.523809432983398,0,42.85714340209961,0,28.571430206298828,0,25.712182998657227,17179869184,2147483648,11335102464,801112064
208,1728914431023,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,69,94,69,70,10,0,19.047618865966797,0,45,0,5,0,23.809524536132813,0,10.526315689086914,0,24.42967414855957,17179869184,2147483648,11335102464,801112064
207,1728914431232,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,69,94,69,70,28.571430206298828,0,0,0,9.523809432983398,0,33.333335876464844,0,4.761904716491699,0,47.619049072265625,0,24.42967414855957,17179869184,2147483648,11344928768,801112064
208,1728914431440,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,69,94,69,70,28.571430206298828,0,5,0,28.571430206298828,0,33.333335876464844,0,0,0,23.809524536132813,0,24.42967414855957,17179869184,2147483648,11347017728,801112064
207,1728914431649,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,68,79,66,68,50,0,4.761904716491699,0,5,4.761904716491699,5,4.545454502105713,55,0,0,0,24.42967414855957,17179869184,2147483648,11346944000,801112064
209,1728914431857,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,68,79,66,68,28.571430206298828,0,27.272727966308594,0,33.333335876464844,0,9.090909004211426,0,4.761904716491699,0,22.72727394104004,0,24.42967414855957,17179869184,2147483648,11346853888,801112064
206,1728914432066,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,68,79,66,68,9.523809432983398,0,25,0,22.72727394104004,0,0,0,54.54545593261719,0,0,0,40.80326843261719,17179869184,2147483648,11346853888,801112064
204,1728914432273,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,68,79,66,68,35,0,4.761904716491699,0,31.57894515991211,0,4.761904716491699,0,20,0,20,0,40.80326843261719,17179869184,2147483648,11346874368,801112064
205,1728914432478,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,72,68,79,66,68,9.090909004211426,0,35,0,61.904762268066406,0,4.761904716491699,0,4.761904716491699,0,0,0,40.80326843261719,17179869184,2147483648,11346616320,801112064
207,1728914432684,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,74,80,72,67,69,10.526315689086914,0,14.285715103149414,0,42.85714340209961,0,20,0,20,0,4.761904716491699,0,40.80326843261719,17179869184,2147483648,11346616320,801112064
203,1728914432891,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,74,80,72,67,69,9.523809432983398,0,0,0,10,0,47.619049072265625,0,28.571430206298828,4.761904716491699,20,0,40.80326843261719,17179869184,2147483648,11346616320,801112064
208,1728914433094,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,74,80,72,67,69,5,0,23.809524536132813,0,28.571430206298828,0,45,0,5,0,5,0,39.99127960205078,17179869184,2147483648,11346616320,801112064
203,1728914433303,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,74,80,72,67,69,28.571430206298828,0,0,0,4.761904716491699,0,33.333335876464844,0,23.809524536132813,0,25,0,39.99127960205078,17179869184,2147483648,11346718720,801112064
206,1728914433507,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,74,80,72,67,69,19.047618865966797,0,0,0,0,0,0,0,28.571430206298828,0,61.904762268066406,0,39.99127960205078,17179869184,2147483648,11346837504,801112064
209,1728914433713,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,70,69,71,81,69,10,0,42.85714340209961,0,9.523809432983398,0,28.571430206298828,0,5,0,28.571430206298828,0,39.99127960205078,17179869184,2147483648,11346866176,801112064
207,1728914433923,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,70,69,71,81,69,9.090909004211426,0,36.3636360168457,0,28.571430206298828,0,0,0,33.333335876464844,0,9.523809432983398,0,39.99127960205078,17179869184,2147483648,11346669568,801112064
207,1728914434131,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,70,69,71,81,69,70,0,0,0,4.761904716491699,0,4.761904716491699,0,23.809524536132813,0,14.285715103149414,0,39.53325653076172,17179869184,2147483648,11346731008,801112064
205,1728914434339,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,70,69,71,81,69,52.38095474243164,5,15.000000953674316,0,5,0,20,0,5,0,0,0,39.53325653076172,17179869184,2147483648,11347972096,801112064
199,1728914434544,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,70,69,71,81,69,5,0,28.571430206298828,0,54.54545593261719,0,23.809524536132813,0,9.523809432983398,0,0,0,39.53325653076172,17179869184,2147483648,11346505728,801112064
208,1728914434744,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,72,72,69,72,84,69,35,0,20,0,0,0,31.57894515991211,0,5,0,20,0,39.53325653076172,17179869184,2147483648,11346546688,801112064
