Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-09-25 17:22:10,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:11,0.25313283208020,3.30436399114041,3.30436399114041,0.00000000000000
2024-09-25 17:22:12,0.25563909774436,3.31152095696948,3.31152095696948,0.00000000000000
2024-09-25 17:22:13,0.25685785536160,3.31504093144141,3.31504093144141,0.00000000000000
2024-09-25 17:22:14,0.25313283208020,3.30436399114041,3.30436399114041,0.00000000000000
2024-09-25 17:22:15,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:16,0.25750000000000,3.31690607031947,3.31690607031947,0.00000000000000
2024-09-25 17:22:17,0.25563909774436,3.31152095696948,3.31152095696948,0.00000000000000
2024-09-25 17:22:18,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:19,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:20,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:21,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:22,0.25563909774436,3.31152095696948,3.31152095696948,0.00000000000000
2024-09-25 17:22:23,0.25313283208020,3.30436399114041,3.30436399114041,0.00000000000000
2024-09-25 17:22:24,0.25870646766169,3.32043004742776,3.32043004742776,0.00000000000000
2024-09-25 17:22:25,0.25563909774436,3.31152095696948,3.31152095696948,0.00000000000000
2024-09-25 17:22:26,0.25563909774436,3.31152095696948,3.31152095696948,0.00000000000000
2024-09-25 17:22:27,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:28,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
2024-09-25 17:22:29,0.25500000000000,3.30968554221973,3.30968554221973,0.00000000000000
