Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728902464507,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,81,82,79,83,82,82,50,0,0,0,0,0,0,0,0,0,0,0,40.30768966674805,17179869184,2147483648,11143045120,783548416
204,1728902464507,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,81,82,79,83,82,82,NaN,0,0,0,0,0,0,0,100,0,0,0,40.30768966674805,17179869184,2147483648,11143045120,783548416
204,1728902464712,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,81,82,79,83,82,82,40.90909194946289,0,9.523809432983398,0,19.047618865966797,0,5,0,50,0,0,0,40.30768966674805,17179869184,2147483648,11143045120,783548416
203,1728902464917,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,81,82,79,83,82,82,20,0,0,0,10,0,42.85714340209961,0,15.000000953674316,0,25,5,33.804771423339844,17179869184,2147483648,11143045120,783548416
204,1728902465121,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,81,82,79,83,82,82,55,0,10,0,15.000000953674316,0,15.000000953674316,0,28.571430206298828,0,0,0,33.804771423339844,17179869184,2147483648,11143045120,783548416
200,1728902465326,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,80,76,91,75,76,15.000000953674316,0,33.333335876464844,0,19.047618865966797,0,14.285715103149414,0,30.000001907348633,0,9.523809432983398,0,33.804771423339844,17179869184,2147483648,11153141760,783548416
201,1728902465527,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,80,76,91,75,76,28.571430206298828,0,0,0,15.000000953674316,0,15.000000953674316,0,76.19047546386719,0,5,0,33.804771423339844,17179869184,2147483648,11152830464,783548416
201,1728902465729,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,80,76,91,75,76,20,0,42.85714340209961,0,15.000000953674316,0,25,0,30.000001907348633,0,4.761904716491699,0,33.804771423339844,17179869184,2147483648,11152109568,783548416
201,1728902465930,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,80,76,91,75,76,68.42105102539063,0,0,0,10,0,5,0,15.000000953674316,0,25,0,17.965784072875977,17179869184,2147483648,11151208448,783548416
203,1728902466132,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,79,80,76,91,75,76,47.619049072265625,4.761904716491699,10,0,15.000000953674316,0,20,0,20,0,15.000000953674316,0,17.965784072875977,17179869184,2147483648,11151241216,783548416
