Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729277659997,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,69,66,66,66,65,50,0,0,0,0,0,0,0,0,0,0,0,33.55780029296875,17179869184,2147483648,11192815616,1196425216
206,1729277659998,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,69,66,66,66,65,100,0,0,0,100,0,50,0,0,0,0,0,33.55780029296875,17179869184,2147483648,11192815616,1196425216
14,1729277660205,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,71,70,72,70,66,42.85714340209961,0,9.523809432983398,0,14.285715103149414,0,23.809524536132813,0,19.047618865966797,0,35,0,33.55780029296875,17179869184,2147483648,11192815616,1196425216
