Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728878461564,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,67,64,65,64,64,50,0,0,0,0,0,0,0,0,0,0,0,32.2157096862793,17179869184,2147483648,10515365888,372768768
202,1728878461564,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,67,64,65,64,64,100,0,0,0,0,0,0,0,0,0,0,0,32.2157096862793,17179869184,2147483648,10515513344,372768768
209,1728878461767,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,69,78,69,65,66,20,0,0,0,5,0,19.047618865966797,0,60.000003814697266,0,10,0,32.2157096862793,17179869184,2147483648,10526416896,372768768
199,1728878461977,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,69,78,69,65,66,4.761904716491699,0,0,0,4.761904716491699,0,4.761904716491699,0,95.23809814453125,0,0,0,32.2157096862793,17179869184,2147483648,10526437376,372768768
201,1728878462177,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,69,78,69,65,66,25,0,0,0,5.263157844543457,0,15.789472579956055,0,57.894737243652344,0,0,0,32.2157096862793,17179869184,2147483648,10526367744,372768768
209,1728878462379,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,69,78,69,65,66,85.71428680419922,0,0,0,13.636363983154297,0,9.523809432983398,0,18.18181800842285,0,0,0,21.16400146484375,17179869184,2147483648,10526371840,372768768
206,1728878462589,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,92,76,68,70,0,0,0,0,5,0,28.571430206298828,0,71.42857360839844,0,0,0,21.16400146484375,17179869184,2147483648,10526371840,372768768
206,1728878462796,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,92,76,68,70,4.761904716491699,0,0,0,0,0,14.285715103149414,0,90.47618865966797,0,0,0,21.16400146484375,17179869184,2147483648,10526371840,372768768
209,1728878463002,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,92,76,68,70,4.761904716491699,0,0,0,5,0,10,0,90,0,0,0,21.16400146484375,17179869184,2147483648,10526371840,372768768
203,1728878463212,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,74,92,76,68,70,0,0,0,0,0,0,80.95238494873047,0,28.571430206298828,0,0,0,21.16400146484375,17179869184,2147483648,10526371840,372768768
