Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728886017185,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,65,63,63,62,62,100,0,0,0,0,0,0,0,0,0,0,0,34.34012222290039,17179869184,2147483648,10857803776,372768768
201,1728886017185,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,65,63,63,62,62,66.66667175292969,0,0,0,0,0,0,0,0,0,0,0,34.34012222290039,17179869184,2147483648,10857803776,372768768
209,1728886017387,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,65,63,63,62,62,60.000003814697266,0,4.761904716491699,0,14.285715103149414,0,14.285715103149414,0,30.000001907348633,0,5,0,34.34012222290039,17179869184,2147483648,10857803776,372768768
203,1728886017597,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,65,63,63,62,62,80,0,0,0,4.761904716491699,0,5,0,19.047618865966797,0,0,0,29.400251388549805,17179869184,2147483648,10857803776,372768768
203,1728886017801,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,72,66,72,66,67,36.3636360168457,0,0,0,5,0,4.761904716491699,0,66.66667175292969,0,0,0,29.400251388549805,17179869184,2147483648,10857803776,372768768
209,1728886018005,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,72,66,72,66,67,0,0,0,0,5,0,45,0,55,0,0,0,29.400251388549805,17179869184,2147483648,10869284864,372768768
201,1728886018215,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,72,66,72,66,67,42.85714340209961,0,0,0,9.523809432983398,0,0,0,47.619049072265625,0,9.523809432983398,0,29.400251388549805,17179869184,2147483648,10869280768,372768768
205,1728886018417,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,72,66,72,66,67,100,0,0,0,9.523809432983398,0,4.761904716491699,0,0,0,0,0,7.032011032104492,17179869184,2147483648,10869387264,372768768
208,1728886018622,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,72,66,72,66,67,4.761904716491699,0,5.263157844543457,0,5,0,19.047618865966797,0,76.19047546386719,0,9.090909004211426,0,7.032011032104492,17179869184,2147483648,10869387264,372768768
201,1728886018831,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,87,68,66,70,65,66,100,0,4.545454502105713,0,0,0,5,0,0,0,0,0,7.032011032104492,17179869184,2147483648,10869387264,372768768
206,1728886019032,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,87,68,66,70,65,66,85,0,0,0,4.761904716491699,0,9.523809432983398,0,14.285715103149414,0,0,0,7.032011032104492,17179869184,2147483648,10869383168,372768768
205,1728886019239,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,87,68,66,70,65,66,5,0,0,0,9.523809432983398,0,0,0,73.68421173095703,0,20,0,7.032011032104492,17179869184,2147483648,10869387264,372768768
206,1728886019445,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,87,68,66,70,65,66,4.761904716491699,0,0,0,0,0,70,0,36.3636360168457,0,0,0,28.132625579833984,17179869184,2147483648,10869366784,372768768
205,1728886019652,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,87,68,66,70,65,66,90.90909576416016,0,0,0,4.761904716491699,0,15.000000953674316,0,0,0,0,0,28.132625579833984,17179869184,2147483648,10869370880,372768768
206,1728886019858,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,95,66,68,21.052631378173828,0,0,0,10,0,14.285715103149414,0,61.904762268066406,0,0,0,28.132625579833984,17179869184,2147483648,10869313536,372768768
200,1728886020064,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,95,66,68,57.142860412597656,0,0,0,9.523809432983398,0,13.636363983154297,0,35,0,0,0,28.132625579833984,17179869184,2147483648,10869084160,372768768
202,1728886020265,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,95,66,68,9.523809432983398,0,0,0,10,0,5.263157844543457,0,85.71428680419922,0,0,0,28.132625579833984,17179869184,2147483648,10869080064,372768768
207,1728886020467,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,95,66,68,78.94737243652344,0,0,0,10,0,5,0,20,0,0,0,34.683380126953125,17179869184,2147483648,10869088256,372768768
203,1728886020675,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,95,66,68,36.3636360168457,0,0,0,0,0,23.809524536132813,0,38.095237731933594,0,9.523809432983398,0,34.683380126953125,17179869184,2147483648,10869125120,372768768
201,1728886020879,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,68,75,68,83,67,21.052631378173828,0,0,0,9.523809432983398,0,5,0,15.000000953674316,0,60.000003814697266,0,34.683380126953125,17179869184,2147483648,10869129216,372768768
202,1728886021080,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,68,75,68,83,67,52.38095474243164,0,0,0,9.523809432983398,0,5,0,45,0,0,0,34.683380126953125,17179869184,2147483648,10869137408,372768768
202,1728886021283,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,68,75,68,83,67,100,0,0,0,5,0,9.523809432983398,0,4.761904716491699,0,4.761904716491699,0,34.683380126953125,17179869184,2147483648,10869149696,372768768
209,1728886021486,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,68,75,68,83,67,20,0,0,0,10,0,0,0,78.94737243652344,0,0,0,34.7291259765625,17179869184,2147483648,10869145600,372768768
206,1728886021695,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,68,75,68,83,67,0,0,0,0,0,0,14.285715103149414,0,86.36363983154297,0,0,0,34.7291259765625,17179869184,2147483648,10869149696,372768768
206,1728886021902,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,75,68,99,66,69,4.761904716491699,0,0,0,5,0,9.090909004211426,0,100,0,0,0,34.7291259765625,17179869184,2147483648,10869149696,372768768
205,1728886022109,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,75,68,99,66,69,9.523809432983398,0,0,0,9.090909004211426,0,40,0,61.904762268066406,0,0,0,34.7291259765625,17179869184,2147483648,10869133312,372768768
209,1728886022315,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,75,68,99,66,69,30.000001907348633,0,0,0,15.000000953674316,0,5,0,45,0,5,0,34.7291259765625,17179869184,2147483648,10869235712,372768768
205,1728886022525,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,75,68,99,66,69,4.761904716491699,0,0,0,5,0,0,0,100,0,0,0,35.09007263183594,17179869184,2147483648,10868887552,372768768
202,1728886022730,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,75,68,99,66,69,28.571430206298828,0,35,0,4.761904716491699,0,9.523809432983398,0,38.095237731933594,0,0,0,35.09007263183594,17179869184,2147483648,10868961280,372768768
205,1728886022933,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,94,67,69,55,0,0,0,5,0,5,0,47.619049072265625,0,0,0,35.09007263183594,17179869184,2147483648,10868891648,372768768
205,1728886023138,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,94,67,69,9.523809432983398,0,0,0,4.761904716491699,0,14.285715103149414,0,90,0,0,0,35.09007263183594,17179869184,2147483648,10868887552,372768768
207,1728886023344,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,94,67,69,15.000000953674316,0,50,0,9.523809432983398,0,0,0,31.81818199157715,0,0,0,35.09007263183594,17179869184,2147483648,10868891648,372768768
202,1728886023552,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,94,67,69,75,0,4.545454502105713,0,0,0,5,0,30.000001907348633,0,0,0,35.05878448486328,17179869184,2147483648,10869026816,372768768
209,1728886023755,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,73,68,94,67,69,61.904762268066406,0,0,0,10,0,9.090909004211426,0,0,0,40,0,35.05878448486328,17179869184,2147483648,10869198848,372768768
206,1728886023965,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,92,69,68,71,66,67,100,0,0,0,9.523809432983398,0,0,0,0,0,0,0,35.05878448486328,17179869184,2147483648,10869235712,372768768
202,1728886024171,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,92,69,68,71,66,67,57.142860412597656,0,0,0,9.523809432983398,0,28.571430206298828,0,28.571430206298828,0,0,0,35.05878448486328,17179869184,2147483648,10869243904,372768768
202,1728886024373,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,92,69,68,71,66,67,47.36842346191406,0,0,0,4.761904716491699,0,15.000000953674316,0,38.095237731933594,0,0,0,35.05878448486328,17179869184,2147483648,10869088256,372768768
202,1728886024576,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,92,69,68,71,66,67,95.23809814453125,0,0,0,0,0,5,0,0,0,0,0,35.44642639160156,17179869184,2147483648,10869092352,372768768
201,1728886024779,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,92,69,68,71,66,67,55,0,0,0,4.761904716491699,0,23.809524536132813,0,30.000001907348633,0,0,0,35.44642639160156,17179869184,2147483648,10869092352,372768768
209,1728886024980,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,71,79,67,85,66,67,4.761904716491699,0,0,0,10,0,5,0,25,0,70,0,35.44642639160156,17179869184,2147483648,10869100544,372768768
