Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728915473303,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,58,59,57,58,56,57,50,0,0,0,0,0,33.333335876464844,0,0,0,0,0,36.614131927490234,17179869184,2147483648,11319627776,801112064
209,1728915473304,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,58,59,57,58,56,57,66.66667175292969,0,0,0,50,0,NaN,0,0,0,0,0,36.614131927490234,17179869184,2147483648,11319627776,801112064
206,1728915473513,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,58,59,57,58,56,57,65,0,4.761904716491699,0,28.571430206298828,0,14.285715103149414,0,4.761904716491699,0,0,0,36.614131927490234,17179869184,2147483648,11319627776,801112064
199,1728915473719,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,92,60,67,60,61,0,0,0,0,95.23809814453125,0,0,0,0,0,0,0,36.614131927490234,17179869184,2147483648,11319627776,801112064
207,1728915473920,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,92,60,67,60,61,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,36.614131927490234,17179869184,2147483648,11319627776,801112064
209,1728915474127,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,92,60,67,60,61,5,0,0,0,80,0,4.761904716491699,0,0,0,19.047618865966797,0,13.295559883117676,17179869184,2147483648,11326656512,801112064
209,1728915474337,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,92,60,67,60,61,4.545454502105713,0,0,0,0,0,0,0,0,0,100,0,13.295559883117676,17179869184,2147483648,11326648320,801112064
209,1728915474546,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,92,60,67,60,61,5,0,0,0,0,0,4.761904716491699,0,4.545454502105713,0,100,0,13.295559883117676,17179869184,2147483648,11327074304,801112064
206,1728915474756,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,61,62,62,84,62,4.761904716491699,0,0,0,0,0,0,0,0,0,100,0,13.295559883117676,17179869184,2147483648,11327057920,801112064
207,1728915474963,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,61,62,62,84,62,4.761904716491699,0,0,0,4.761904716491699,0,60.000003814697266,0,0,0,40,0,13.295559883117676,17179869184,2147483648,11327053824,801112064
208,1728915475171,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,61,62,62,84,62,0,0,0,0,0,0,61.904762268066406,0,40,0,0,0,20.25235939025879,17179869184,2147483648,11327131648,801112064
207,1728915475380,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,61,62,62,84,62,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,20.25235939025879,17179869184,2147483648,11327111168,801112064
208,1728915475588,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,61,62,62,84,62,4.761904716491699,0,100,0,4.545454502105713,0,0,0,0,0,0,0,20.25235939025879,17179869184,2147483648,11327070208,801112064
208,1728915475796,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,82,65,61,63,4.761904716491699,0,0,0,23.809524536132813,0,75,0,0,0,0,0,20.25235939025879,17179869184,2147483648,11327070208,801112064
207,1728915476005,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,82,65,61,63,9.523809432983398,0,0,0,75,0,23.809524536132813,0,0,0,0,0,20.25235939025879,17179869184,2147483648,11327070208,801112064
