Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728908881541,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,72,69,71,67,68,66.66667175292969,0,0,0,0,0,0,0,0,0,50,0,26.71894073486328,17179869184,2147483648,12013453312,767557632
204,1728908881541,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,72,69,71,67,68,NaN,0,0,0,100,0,50,0,50,0,0,0,26.71894073486328,17179869184,2147483648,12013453312,767557632
199,1728908881746,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,72,69,71,67,68,38.095237731933594,0,33.333335876464844,0,15.000000953674316,0,15.000000953674316,0,35,0,15.000000953674316,0,26.71894073486328,17179869184,2147483648,12013453312,767557632
199,1728908881946,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,72,69,71,67,68,35,0,15.000000953674316,0,20,0,10.526315689086914,0,40,0,38.095237731933594,0,24.563798904418945,17179869184,2147483648,12013453312,767557632
200,1728908882146,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,72,69,71,67,68,35,0,15.000000953674316,0,30.000001907348633,0,42.85714340209961,0,45,0,21.052631378173828,0,24.563798904418945,17179869184,2147483648,12013453312,767557632
200,1728908882347,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,72,69,71,67,68,70,0,45,0,33.333335876464844,0,35,0,55,0,30.000001907348633,4.761904716491699,24.563798904418945,17179869184,2147483648,12028915712,767557632
201,1728908882548,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,73,71,72,74,71,73.68421173095703,0,57.142860412597656,0,26.3157901763916,0,35,0,45,0,15.789472579956055,0,24.563798904418945,17179869184,2147483648,12029075456,767557632
202,1728908882750,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,73,71,72,74,71,14.285715103149414,0,0,0,23.809524536132813,0,35,0,100,0,57.142860412597656,0,24.563798904418945,17179869184,2147483648,12027723776,767557632
203,1728908882953,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,73,71,72,74,71,15.000000953674316,0,10,0,20,0,25,0,100,0,57.142860412597656,0,24.02267837524414,17179869184,2147483648,12028825600,767557632
202,1728908883157,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,73,71,72,74,71,23.809524536132813,0,28.571430206298828,0,70,0,20,0,57.894737243652344,0,57.894737243652344,0,24.02267837524414,17179869184,2147483648,12028579840,767557632
