Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728908431833,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,66,63,64,62,63,50,0,0,0,0,0,0,0,0,0,0,0,35.89777374267578,17179869184,2147483648,11305971712,767557632
204,1728908431833,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,66,63,64,62,63,50,0,0,0,100,0,33.333335876464844,0,0,0,0,0,35.89777374267578,17179869184,2147483648,11305971712,767557632
200,1728908432038,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,66,63,64,62,63,65,0,4.761904716491699,0,23.809524536132813,0,15.000000953674316,0,5,0,52.38095474243164,0,34.189476013183594,17179869184,2147483648,11305971712,767557632
204,1728908432239,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,66,63,64,62,63,19.047618865966797,0,0,0,5,0,75,0,4.761904716491699,0,10,0,34.189476013183594,17179869184,2147483648,11305971712,767557632
204,1728908432443,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,66,66,63,64,62,63,5.263157844543457,0,4.761904716491699,0,0,0,9.523809432983398,0,0,0,100,0,34.189476013183594,17179869184,2147483648,11305971712,767557632
200,1728908432648,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,68,68,69,94,69,4.761904716491699,0,0,0,0,0,0,0,0,0,100,0,34.189476013183594,17179869184,2147483648,11314782208,767557632
204,1728908432849,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,68,68,69,94,69,5,0,0,0,0,0,0,0,0,0,100,0,34.189476013183594,17179869184,2147483648,11314749440,767557632
201,1728908433054,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,68,68,69,94,69,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,8.225452423095703,17179869184,2147483648,11314835456,767557632
203,1728908433256,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,68,68,69,94,69,5,0,0,0,4.761904716491699,0,0,0,0,0,100,0,8.225452423095703,17179869184,2147483648,11314794496,767557632
203,1728908433460,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,69,68,68,69,94,69,9.523809432983398,0,15.000000953674316,0,0,0,0,0,0,0,80.95238494873047,0,8.225452423095703,17179869184,2147483648,11314794496,767557632
