cpu_usage,memory_usage
99.0,0.1
99.5,0.1
99.6,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
99.9,0.1
99.9,0.1
100.0,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
99.9,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
