Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728894002701,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,68,64,65,64,63,50,0,0,0,0,0,0,0,0,0,0,0,41.46243667602539,17179869184,1073741824,11131600896,238551040
203,1728894002701,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,68,64,65,64,63,100,0,0,0,0,0,0,0,0,0,0,0,41.46243667602539,17179869184,1073741824,11131600896,238551040
199,1728894002905,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,65,68,64,65,64,63,38.095237731933594,0,0,0,14.285715103149414,0,19.047618865966797,0,50,0,4.761904716491699,0,41.46243667602539,17179869184,1073741824,11131600896,238551040
200,1728894003105,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,73,68,73,68,68,30.000001907348633,0,0,0,10,0,15.789472579956055,0,55,0,0,0,41.46243667602539,17179869184,1073741824,11131600896,238551040
200,1728894003306,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,73,68,73,68,68,100,0,4.761904716491699,0,0,0,0,0,0,0,5,0,41.46243667602539,17179869184,1073741824,11131600896,238551040
199,1728894003507,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,73,68,73,68,68,10,0,0,0,15.000000953674316,0,14.285715103149414,0,71.42857360839844,0,0,0,41.46243667602539,17179869184,1073741824,11143221248,238551040
200,1728894003707,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,73,68,73,68,68,5,0,0,0,9.090909004211426,0,15.789472579956055,0,89.47368621826172,0,0,0,18.653064727783203,17179869184,1073741824,11142901760,238551040
200,1728894003908,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,78,73,68,73,68,68,28.571430206298828,0,0,0,0,0,10,0,75,0,0,0,18.653064727783203,17179869184,1073741824,11143716864,238551040
200,1728894004109,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,70,67,71,67,67,78.94737243652344,0,0,0,5,0,0,0,20,0,0,0,18.653064727783203,17179869184,1073741824,11142905856,238551040
202,1728894004309,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,70,67,71,67,67,9.523809432983398,0,0,0,14.285715103149414,0,5,0,65,0,31.57894515991211,0,18.653064727783203,17179869184,1073741824,11142934528,238551040
203,1728894004512,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,70,67,71,67,67,40,0,0,0,5.263157844543457,0,10,0,55,0,0,0,18.653064727783203,17179869184,1073741824,11142897664,238551040
204,1728894004716,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,70,67,71,67,67,40,0,5,0,5,0,14.285715103149414,0,47.619049072265625,0,0,0,27.25423240661621,17179869184,1073741824,11142844416,238551040
201,1728894004920,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,70,67,71,67,67,5,0,30.000001907348633,0,4.761904716491699,0,65,0,5,0,0,0,27.25423240661621,17179869184,1073741824,11142664192,238551040
199,1728894005122,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,74,79,76,67,69,14.285715103149414,0,0,0,10,0,10,0,61.904762268066406,0,20,0,27.25423240661621,17179869184,1073741824,11143245824,238551040
200,1728894005322,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,74,79,76,67,69,52.6315803527832,0,0,0,5,0,0,0,15.789472579956055,0,31.81818199157715,0,27.25423240661621,17179869184,1073741824,11143397376,238551040
202,1728894005522,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,74,79,76,67,69,90.47618865966797,0,0,0,14.285715103149414,0,19.047618865966797,0,28.571430206298828,0,0,0,27.25423240661621,17179869184,1073741824,11142656000,238551040
200,1728894005725,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,74,79,76,67,69,10.526315689086914,0,0,0,5,0,0,0,90,0,0,0,38.21132278442383,17179869184,1073741824,11142778880,238551040
202,1728894005926,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,74,79,76,67,69,9.523809432983398,0,0,0,0,0,4.761904716491699,0,40,0,55,0,38.21132278442383,17179869184,1073741824,11142778880,238551040
201,1728894006128,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,74,68,92,68,69,5.263157844543457,0,0,0,10,0,5,0,85,0,0,0,38.21132278442383,17179869184,1073741824,11142778880,238551040
204,1728894006329,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,70,74,68,92,68,69,66.66667175292969,0,0,0,9.523809432983398,0,5,0,35,0,0,0,38.21132278442383,17179869184,1073741824,11142778880,238551040
