Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1729179431834,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,62,59,62,61,59,35,35,78.94737243652344,35,71.42857360839844,35,85,35,75,40,70,38.095237731933594,73.68421173095703,38.095237731933594,47.365081787109375,17179869184,4294967296,11650412544,2981101568
201,1729179432037,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,62,59,62,61,59,35,35,50,4.761904716491699,15.000000953674316,0,42.85714340209961,5,45,0,30.000001907348633,0,45,5,47.365081787109375,17179869184,4294967296,11653423104,2981101568
200,1729179432239,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,62,59,62,61,59,35,35,45,0,15.000000953674316,4.761904716491699,25,0,15.000000953674316,0,19.047618865966797,4.761904716491699,55,0,47.365081787109375,17179869184,4294967296,11654172672,2981101568
199,1729179432439,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,77,58,62,57,59,35,35,45,0,33.333335876464844,0,73.68421173095703,0,25,0,26.3157901763916,4.761904716491699,15.000000953674316,0,47.365081787109375,17179869184,4294967296,11656855552,2981101568
203,1729179432639,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,77,58,62,57,59,35,35,42.85714340209961,4.761904716491699,22.22222328186035,5,60.000003814697266,5,45,4.761904716491699,38.095237731933594,0,52.38095474243164,5,51.36991500854492,17179869184,4294967296,11665473536,2981101568
200,1729179432843,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,77,58,62,57,59,35,35,68.42105102539063,0,47.619049072265625,10,61.904762268066406,9.523809432983398,60.000003814697266,5,52.6315803527832,9.523809432983398,60.000003814697266,9.523809432983398,51.36991500854492,17179869184,4294967296,11665473536,2981101568
200,1729179433044,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,77,58,62,57,59,35,35,76.19047546386719,15.000000953674316,70,15.000000953674316,70,10,76.19047546386719,10.526315689086914,71.42857360839844,10.526315689086914,63.15789031982422,20,51.36991500854492,17179869184,4294967296,11665473536,2981101568
203,1729179433245,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,62,77,58,62,57,59,35,35,57.894737243652344,4.761904716491699,33.333335876464844,0,42.105262756347656,4.761904716491699,50,4.761904716491699,42.105262756347656,0,50,0,51.36991500854492,17179869184,4294967296,11662102528,2981101568
202,1729179433448,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,62,59,64,61,59,35,35,61.904762268066406,0,26.3157901763916,9.523809432983398,47.619049072265625,0,40,5,57.142860412597656,9.523809432983398,42.85714340209961,0,51.36991500854492,17179869184,4294967296,11671695360,2981101568
200,1729179433652,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,62,59,64,61,59,35,35,65,4.761904716491699,23.809524536132813,0,50,0,40,0,40,4.761904716491699,42.105262756347656,5,46.229698181152344,17179869184,4294967296,11673329664,2981101568
